metric,description,classification
f0511018,General_Preventive_Medical_Medicine_45_54=2018,EXTENSIVE
f0511118,General_Preventive_Medical_Medicine_55_64=2018,EXTENSIVE
f0511518,Public_Health_35_44=2018,EXTENSIVE
f0511618,Public_Health_45_54=2018,EXTENSIVE
f0511718,Public_Health_55_64=2018,EXTENSIVE
f0512618,Radiation_Oncology_<_35=2018,EXTENSIVE
f0512718,Radiation_Oncology_35_44=2018,EXTENSIVE
f0512818,Radiation_Oncology_45_54=2018,EXTENSIVE
f0512918,Radiation_Oncology_55_64=2018,EXTENSIVE
f0513818,Unspecified_<_35=2018,EXTENSIVE
f0513918,Unspecified_35_44=2018,EXTENSIVE
f0514018,Unspecified_45_54=2018,EXTENSIVE
f0514118,Unspecified_55_64=2018,EXTENSIVE
f0514418,Medical_Doctors_Inactive_<_35=2018,EXTENSIVE
f0514518,Medical_Doctors_Inactive_35_44=2018,EXTENSIVE
f0514618,Medical_Doctors_Inactive_45_54=2018,EXTENSIVE
f0514718,Medical_Doctors_Inactive_55_64=2018,EXTENSIVE
f0515018,Medical_Doctors_Not_Classified_<_35=2018,EXTENSIVE
f0515118,Medical_Doctors_Not_Classified_35_44=2018,EXTENSIVE
f0515218,Medical_Doctors_Not_Classified_45_54=2018,EXTENSIVE
f0515318,Medical_Doctors_Not_Classified_55_64=2018,EXTENSIVE
f0524110,Population_in_Occupied_Housing_Units=2010,EXTENSIVE
f0524210,Population_in_Group_Quarters=2010,EXTENSIVE
f0670410,Population_Male_<_5=2010,EXTENSIVE
f0670510,Population_Female_<_5=2010,EXTENSIVE
f0670610,Population_Male_5_9=2010,EXTENSIVE
f0670710,Population_Female_5_9=2010,EXTENSIVE
f0670810,Population_Male_10_14=2010,EXTENSIVE
f0670910,Population_Female_10_14=2010,EXTENSIVE
f0671010,Population_Male_15_19=2010,EXTENSIVE
f0671110,Population_Female_15_19=2010,EXTENSIVE
f0671210,Population_Male_20_24=2010,EXTENSIVE
f0671310,Population_Female_20_24=2010,EXTENSIVE
f0671410,Population_Male_25_29=2010,EXTENSIVE
f0671510,Population_Female_25_29=2010,EXTENSIVE
f0671610,Population_Male_30_34=2010,EXTENSIVE
f0671710,Population_Female_30_34=2010,EXTENSIVE
f0671810,Population_Male_35_44=2010,EXTENSIVE
f0671910,Population_Female_35_44=2010,EXTENSIVE
f0672010,Population_Male_45_54=2010,EXTENSIVE
f0672110,Population_Female_45_54=2010,EXTENSIVE
f0672210,Population_Male_55_59=2010,EXTENSIVE
f0672310,Population_Female_55_59=2010,EXTENSIVE
f0672410,Population_Male_60_64=2010,EXTENSIVE
f0672510,Population_Female_60_64=2010,EXTENSIVE
f0672610,Population_Male_65_74=2010,EXTENSIVE
f0672710,Population_Female_65_74=2010,EXTENSIVE
f0679219,Civilian_Labor_Force_16+=2019,EXTENSIVE
f0679319,Number_Employed_16+=2019,EXTENSIVE
f0679419,Number_Unemployed_16+=2019,EXTENSIVE
f0679519,Unemployment_Rate_16+=2019,INTENSIVE
f0851710,Population_White_Female_<_5=2010,EXTENSIVE
f0852010,Population_White_Female_60_64=2010,EXTENSIVE
f0852210,Population_White_Male_<_5=2010,EXTENSIVE
f0852510,Population_White_Male_60_64=2010,EXTENSIVE
f0852710,Population_Black_African_American_Female_<_5=2010,EXTENSIVE
f0853010,Population_Black_African_American_Female_60_64=2010,EXTENSIVE
f0853210,Population_Black_African_American_Male_<_5=2010,EXTENSIVE
f0853510,Population_Black_African_American_Male_60_64=2010,EXTENSIVE
f0873710,Number_Families=2010,EXTENSIVE
f0873810,#_Households_with_1_Persons=2010,EXTENSIVE
f0873910,#_Households_with_2_Persons=2010,EXTENSIVE
f0874010,#_Households_with_3_Persons=2010,EXTENSIVE
f0874110,#_Households_with_4_Persons=2010,EXTENSIVE
f0874210,#_Households_with_5_Persons=2010,EXTENSIVE
f0874310,#_Households_with_6_or_more_Person=2010,EXTENSIVE
f0874410,Number_Families_with_Female_Head=2010,EXTENSIVE
f0874510,Number_Households=2010,EXTENSIVE
f0874610,%_Families_with_Female_Head=2010,INTENSIVE
f0885718,Total_Active_M.D.s_Non_Federal=2018,EXTENSIVE
f0886018,Medical_Doctors_Total_General_Practice_Patient_Care_Office_Based=2018,EXTENSIVE
f0886118,Medical_Medicine_Specialty_Total_Patient_Care_Office_Based=2018,EXTENSIVE
f0886218,Surgical_Specialty_Total_Patient_Care_Office_Based=2018,EXTENSIVE
f0886318,Other_Specialty_Total_Patient_Care_Office_Based=2018,EXTENSIVE
f0886818,Total_Number_Hospitals=2018,EXTENSIVE
f0886918,#_Short_Term_General_Hospital=2018,EXTENSIVE
f0887018,#_Short_Term_Non_General_Hospital=2018,EXTENSIVE
f0887118,#_Long_Term_Hospitals=2018,EXTENSIVE
f0887218,#_Short_Term_Community_Hospital=2018,EXTENSIVE
f0887618,#_Veterans'_Hospitals=2018,EXTENSIVE
f0887718,#_Hospital_with_Joint_Commission_on_Accreditation_of_Health_Care_Organizations_Accreditation=2018,EXTENSIVE
f0887918,#_Hospital_with_Residency_Training=2018,EXTENSIVE
f0888118,#_Hospital_with_Medical_School_Affiliation=2018,EXTENSIVE
f0889018,#_Member_Council_Teaching_Hospital=2018,EXTENSIVE
f0889518,#_Hospital_with_American_Osteopathic_Assoc_Accreditation=2018,EXTENSIVE
f0889718,#_Hospital_with_American_Osteopathic_Assoc_Internal=2018,EXTENSIVE
f0889918,#_Hospital_with_American_Osteopathic_Assoc_Residence=2018,EXTENSIVE
f0890518,#_Hospital_with_Medicare_Certification=2018,EXTENSIVE
f0890918,Hospital_Admissions=2018,EXTENSIVE
f0891018,Short_Term_General_Hospital_Admissions=2018,EXTENSIVE
f0891118,Short_Term_Non_General_Long_Term_Hospital_Admissions=2018,EXTENSIVE
f0891218,Short_Term_Community_Hospital_Admissions=2018,EXTENSIVE
f0892018,Veterans'_Hospital_Admissions=2018,EXTENSIVE
f0892118,Hospital_Beds=2018,EXTENSIVE
f0892218,Short_Term_General_Hospital_Beds=2018,EXTENSIVE
f0892318,Short_Term_Non_General_Hospital_Beds=2018,EXTENSIVE
f0892418,Long_Term_Hospital_Beds=2018,EXTENSIVE
f0892518,Short_Term_Community_Hospital_Beds=2018,EXTENSIVE
f0892918,Veterans'_Hospital_Beds=2018,EXTENSIVE
f0893018,Bassinets_Set_Up_&_Staffed=2018,EXTENSIVE
f0904718,Total_Inpatient_Beds_Set_Up=2018,EXTENSIVE
f0907118,General_Medical_Medicine_Surgical_Adult_Bed_Set_Up=2018,EXTENSIVE
f0907718,General_Medical_Medicine_Surgical_Pediatric_Beds_Set_Up=2018,EXTENSIVE
f0908318,Obstetrics_Care_Beds_Set_Up=2018,EXTENSIVE
f0910318,Other_Special_Care_Beds_Set_Up=2018,EXTENSIVE
f0912718,Burn_Care_Beds_Set_Up=2018,EXTENSIVE
f0913318,Cardiac_Intensive_Care_Beds_Set_Up=2018,EXTENSIVE
f0913918,Medical_Medicine_Surgical_Intensive_Care_Beds_Set_Up=2018,EXTENSIVE
f0914518,Neonatal_Intensive_Care_Beds_Set_Up=2018,EXTENSIVE
f0915118,Neonatal_Intermediate_Care_Beds_Set_Up=2018,EXTENSIVE
